,Word,score
0,told,0.5818218422046076
1,came,0.5743534030284747
2,gave,0.5439051029754112
3,bought,0.5198516830827322
4,took,0.3170796004775661
5,friends,0.26830698693279353
6,son,0.23981613969946447
7,family,0.23578360209312071
8,daughter,0.18793245855569723
9,made,0.18382390069890084
10,got,0.17723781556885074
11,friend,0.1697847439259276
12,brother,0.16785860125585197
13,parents,0.13554155175101928
14,birthday,0.13179658291584873
15,today,0.11936164251206097
16,went,0.11722082450369828
17,house,0.11689202301103177
18,found,0.10850264632024888
19,party,0.10371145445421667
20,mom,0.10063417825288909
21,last,0.10038246918851954
22,girlfriend,0.10026791447039163
23,mother,0.10017995332826457
24,sister,0.09222911315015797
25,yesterday,0.0916020993243023
26,enjoyed,0.090320316313712
27,boyfriend,0.08762168522919993
28,received,0.08757786697387362
29,getting,0.076282730502297
30,get,0.06530060755511537
31,talked,0.0560048613677638
32,going,0.05467015305182724
33,moment,0.05164289083733898
34,wife,0.049450355859312435
35,school,0.04713173040427849
36,work,0.04190611954840461
37,two,0.03911195316051462
38,game,0.03730709013975427
39,husband,0.036658074593815766
40,job,0.032766795251960905
41,one,0.030883182268568902
42,home,0.02875038958610057
43,really,0.02373588681380289
44,event,0.017966751058031874
45,old,0.017789586643060983
46,first,0.017093189237886136
47,new,0.014100170731006084
48,see,0.01341067840665106
49,dinner,0.010603196285611408
50,night,0.009926782642699484
51,day,0.009868546684617528
52,lunch,0.008877649127355775
53,able,0.00802024021029499
54,months,0.006762393161419986
55,long,0.006267752226214774
56,nice,0.005949948299431112
57,happy,0.005114192596818001
58,year,0.004444188212658326
59,time,0.00357285095664475
60,morning,0.0027942822456192853
61,favorite,0.002556570608062943
62,together,0.0016481941877847376
63,best,0.0011577500462541172
64,month,0.0009662034980962136
65,week,0.00032233235413069774
66,great,0.0002460549754499117
67,good,6.345921593380391e-05
