,Word,score
0,temple,0.927728833979927
1,shopping,0.6641371813148369
2,lunch,0.6349235318431774
3,new,0.6299459677104604
4,gift,0.6207103531500234
5,first,0.6178894730571884
6,house,0.6049103529738545
7,girlfriend,0.5925897996417313
8,trip,0.5735814209777531
9,friend,0.5544406827306008
10,job,0.5470051041901676
11,family,0.5374037282530219
12,parents,0.5370390736644091
13,car,0.5156746680455864
14,home,0.5115372981824219
15,phone,0.4956563880882011
16,food,0.4850399408209314
17,mom,0.47785017487727094
18,sister,0.46117267362153924
19,mother,0.45970435626590106
20,walk,0.45950224928975364
21,dinner,0.45583699348598405
22,team,0.4451845564731346
23,movie,0.4389591157129895
24,vacation,0.4289185596819262
25,game,0.4158412813187054
26,boyfriend,0.40749187422969785
27,brother,0.4046998887726691
28,college,0.40452642258859844
29,project,0.40023542650826827
30,friends,0.3987413506961743
31,dog,0.38078786004890547
32,show,0.37620246388811196
33,birthday,0.37364289967962194
34,school,0.3722718710881386
35,money,0.36719920915841525
36,party,0.36338014926193496
37,came,0.35748326459563
38,favorite,0.3549335011044355
39,wife,0.35463632922369065
40,told,0.35312385908707794
41,two,0.3527777402420507
42,video,0.3467031448662301
43,last,0.3435035140763517
44,cat,0.33703315169637166
45,back,0.3339556739329046
46,one,0.3281920337995166
47,best,0.324914595492439
48,big,0.2831867912871635
49,work,0.27241841925457455
50,started,0.2618972198507229
51,get,0.2511969880270888
52,watch,0.23998001937477237
53,visit,0.22588546642979462
54,old,0.221067165540392
55,daughter,0.21887308064280822
56,husband,0.21499416551995512
57,play,0.19695648370341773
58,son,0.1887376600149697
59,gave,0.1885933800973547
60,lot,0.1841870235411998
61,another,0.17837582024898724
62,really,0.17277286678935125
63,day,0.17148789408205778
64,getting,0.1669525673214539
65,see,0.15397481761356574
66,good,0.15209445323325677
67,together,0.14884333422392645
68,store,0.14823026351143603
69,take,0.14716040681820214
70,got,0.14191399672676003
71,long,0.14035438920855767
72,working,0.1375125832453291
73,weekend,0.1279315425213923
74,night,0.1261808573279984
75,year,0.12316328096633977
76,received,0.1230514436223846
77,nice,0.12190223541516357
78,love,0.11966539565482007
79,week,0.11491134571609023
80,completed,0.11469541348319744
81,life,0.10273579422662267
82,took,0.09855676098440426
83,today,0.09278299652289315
84,morning,0.0924727303968563
85,playing,0.08836558574308809
86,talked,0.08554043169728916
87,going,0.08499038927155618
88,finally,0.08406284805734711
89,made,0.08338556936582558
90,watching,0.08113031538614816
91,past,0.07911298440806655
92,bought,0.07647005669490417
93,month,0.07577206924669565
94,played,0.07417692421535439
95,delicious,0.071970460408602
96,great,0.07135156532125152
97,yesterday,0.0660882947337237
98,time,0.06594765579980401
99,like,0.06240441181916057
100,enjoyed,0.060699420256207816
101,days,0.05977213229301694
102,moment,0.05967681395692637
103,well,0.05502777739394073
104,much,0.05340226115785354
105,saw,0.05080185235631686
106,finished,0.048859940013371884
107,event,0.04470979328511757
108,spent,0.037989456222975386
109,met,0.03663152164716345
110,weeks,0.03510923461740153
111,hours,0.03169854333161315
112,went,0.03052610445874876
113,watched,0.02988032817473445
114,ate,0.02631518518370703
115,felt,0.02382290550678764
116,found,0.023542682061959565
117,years,0.02185953248030394
118,able,0.02178474488597012
119,ago,0.018592046417650023
120,feel,0.018361018871531905
121,months,0.018149330770509998
122,happy,0.01652394905929633
