,Word,score
0,shopping,0.8991491980108451
1,temple,0.860396819134807
2,car,0.7393015193299326
3,dinner,0.5500894505699181
4,dog,0.5239462274644381
5,game,0.3087972729861391
6,job,0.2820669154084439
7,new,0.2252461835726673
8,finished,0.19161825154853493
9,night,0.184381406324464
10,morning,0.1697059074254288
11,home,0.14725736522232113
12,work,0.14574061658536108
13,week,0.14238583863573673
14,day,0.11910000034191752
15,watched,0.10304624878509211
16,ate,0.07604287648176587
17,last,0.06738462736754589
18,bought,0.049189295065701674
19,today,0.045335812494393835
20,finally,0.04399724287079687
21,long,0.04342654416734963
22,yesterday,0.04296858282964605
23,made,0.04180485235277838
24,received,0.031968117154454724
25,went,0.027137515681960836
26,time,0.024502955920117624
27,one,0.019970160187330967
28,first,0.01799094616427898
29,found,0.016985934625343337
30,delicious,0.013629424639868363
31,get,0.012781897517241674
32,favorite,0.011954979503218775
33,got,0.01165233341979588
34,able,0.008140180216583952
35,really,0.005647715020441409
36,happy,0.004346849011617913
37,great,0.003334167370653546
38,getting,0.0006954214680545361
39,good,0.0005381777290464065
