,Word,score
0,temple,0.9335908933108051
1,girlfriend,0.7005759819522278
2,shopping,0.6850639146221628
3,new,0.6545288510672758
4,trip,0.6224174841448196
5,lunch,0.6162114049356935
6,friend,0.6028653008651017
7,house,0.6005703609394417
8,first,0.5931439755327559
9,job,0.5910819382000455
10,mother,0.5809035116926504
11,family,0.5627327449327254
12,car,0.5615067259904722
13,dog,0.49034213520908393
14,college,0.48751766686081494
15,food,0.48705183607987523
16,game,0.4726221866962116
17,vacation,0.46587759433983056
18,wife,0.4646248813989564
19,movie,0.4452468691510931
20,home,0.44062252956381964
21,dinner,0.42287944036362995
22,friends,0.41596916881146606
23,school,0.384305023880421
24,party,0.37889216195082037
25,video,0.36876109685610053
26,two,0.3599661915074531
27,daughter,0.35296990021081204
28,favorite,0.3517562247738533
29,last,0.3407018899959114
30,one,0.3359882962775891
31,birthday,0.3132546493283128
32,husband,0.3007454620562717
33,old,0.28580906458457894
34,work,0.27111863262896274
35,son,0.2640264218561946
36,back,0.2499068802130369
37,watch,0.23080737688564573
38,lot,0.19867570271114948
39,get,0.19516308291927015
40,play,0.174940542084051
41,day,0.16054555956043934
42,really,0.15868768625987395
43,good,0.15717975620732147
44,see,0.15257009669013893
45,came,0.1464187042375741
46,together,0.1436150674353083
47,long,0.13056604791949045
48,weekend,0.12646327306258268
49,nice,0.10833354350513966
50,year,0.10558725975684433
51,night,0.10253349019430942
52,getting,0.09900382781109714
53,today,0.09855441442757117
54,morning,0.09803707600285708
55,week,0.09067645270584691
56,watching,0.08856371922046148
57,received,0.07542890473305151
58,delicious,0.07268576259120872
59,great,0.07080629413997461
60,yesterday,0.06476509863320959
61,month,0.06358407708006748
62,past,0.06343833227978864
63,playing,0.05461423160035468
64,time,0.05432116637720285
65,got,0.05329615162649646
66,enjoyed,0.05005387423353139
67,saw,0.04986882974592464
68,made,0.04937049152400146
69,like,0.0428201615813894
70,took,0.04145933024775459
71,event,0.040076653501136615
72,going,0.038950749872114186
73,finally,0.038110060378375187
74,moment,0.029965147354484953
75,played,0.028965032291373854
76,watched,0.027645465021051027
77,bought,0.02101103546656044
78,finished,0.02037865742968945
79,went,0.018095949964061327
80,ate,0.017198555772775955
81,felt,0.011602709340932802
82,happy,0.01045111021305139
83,feel,0.009851280973866602
84,found,0.009755788290155243
85,spent,0.008160443486212542
86,months,0.007576071228943783
87,ago,0.006960805391685329
88,able,0.005455978455134935
