,Word,score
0,first,0.6679515180489253
1,home,0.6428175309970243
2,new,0.49911223279801353
3,came,0.48907289790528213
4,job,0.47542432575812565
5,birthday,0.4726578687241108
6,friend,0.4661513537075964
7,told,0.3882425998448876
8,favorite,0.3621256993436625
9,got,0.3603450095144367
10,last,0.3512733515261064
11,one,0.3085485097126085
12,work,0.2753540590097587
13,day,0.1965155741049084
14,made,0.17934250102077695
15,wife,0.1732022217892779
16,received,0.16467707020713498
17,son,0.14055285243658575
18,husband,0.13045919943096218
19,daughter,0.12863970672788977
20,time,0.10343306135198364
21,today,0.07797997044677246
22,happy,0.030154098469757192
